pair,price_change_pct,quote_volume,symbol
ONDO/USDT:USDT,-5.861244019138745,41061203.75918005,ONDOUSDT
MOODENG/USDT:USDT,-5.79779587925251,2794339.9643000006,MOODENGUSDT
TAO/USDT:USDT,-5.77563865235099,78625761.82134001,TAOUSDT
NIGHT/USDT:USDT,-5.772091639393051,2413296.8085599984,NIGHTUSDT
FET/USDT:USDT,-5.734767025089605,33902893.1326,FETUSDT
IRYS/USDT:USDT,-5.673274094326731,1271647.3558599995,IRYSUSDT
CHZ/USDT:USDT,-5.652911249293391,14077071.040409992,CHZUSDT
ZK/USDT:USDT,-5.611775528978836,5492882.7075000005,ZKUSDT
BERA/USDT:USDT,-5.603864734299513,9326536.792710004,BERAUSDT
GMT/USDT:USDT,-5.548549810844882,2958381.161529998,GMTUSDT
MEGA/USDT:USDT,-5.4840625618689405,8577901.425170004,MEGAUSDT
BIO/USDT:USDT,-5.423961551664947,6764179.722780001,BIOUSDT
SAHARA/USDT:USDT,-5.400192864030872,8785153.171229998,SAHARAUSDT
1000BONK/USDT:USDT,-5.384978743504954,25864208.53609598,1000BONKUSDT
1000PEPE/USDT:USDT,-5.355179239058727,126236028.30497254,1000PEPEUSDT
AMAT/USDT:USDT,5.346715328467155,8353774.5998,AMATUSDT
SNX/USDT:USDT,-5.344522968197884,2171170.658789999,SNXUSDT
OG/USDT:USDT,-5.312035661218428,1636390.3757999998,OGUSDT
BZ/USDT:USDT,5.2795031055900665,371023383.7345,BZUSDT
S/USDT:USDT,-5.259146341463417,3916045.6746900002,SUSDT
AVAX/USDT:USDT,-5.220588235294111,72527366.61199999,AVAXUSDT
ENSO/USDT:USDT,5.204236006051444,11993299.988580013,ENSOUSDT
DOT/USDT:USDT,-5.1724137931034475,43201944.1456,DOTUSDT
NOT/USDT:USDT,-5.131352811195667,2971522.5192095013,NOTUSDT
ENA/USDT:USDT,-5.076468320267324,70841153.57778001,ENAUSDT
AAVE/USDT:USDT,-5.036669542709237,77563706.19999993,AAVEUSDT
MIRA/USDT:USDT,-5.020920502092041,5306805.362799999,MIRAUSDT
LINK/USDT:USDT,-4.9837621783662245,75283274.82761,LINKUSDT
BTW/USDT:USDT,4.938664967341078,11622324.651881997,BTWUSDT
1000SHIB/USDT:USDT,-4.936055642809056,29591602.895625006,1000SHIBUSDT
RAVE/USDT:USDT,-4.916897506925199,14068000.703899994,RAVEUSDT
SKYAI/USDT:USDT,-4.903928878692277,30867196.979469996,SKYAIUSDT
OP/USDT:USDT,-4.903846153846148,27219137.672319993,OPUSDT
PNUT/USDT:USDT,-4.8278945015646,2823173.4405800006,PNUTUSDT
SLX/USDT:USDT,4.8168590065228445,52197923.54237001,SLXUSDT
BAS/USDT:USDT,4.7931613494123,10493602.944678003,BASUSDT
GRAM/USDT:USDT,-4.739052189562088,15467213.342900004,GRAMUSDT
KSM/USDT:USDT,-4.682373993438715,1451191.4663000011,KSMUSDT
LINEA/USDT:USDT,-4.675534058847253,1436330.5205109993,LINEAUSDT
ALLO/USDT:USDT,-4.6750608301245,39790012.899960004,ALLOUSDT
SPX/USDT:USDT,-4.662545079855751,6122332.437600002,SPXUSDT
NAORIS/USDT:USDT,-4.653230586840551,1255254.705569999,NAORISUSDT
MAGMA/USDT:USDT,4.648778487316196,21208384.58647002,MAGMAUSDT
1000FLOKI/USDT:USDT,-4.629232747535372,4388125.329009997,1000FLOKIUSDT
BOME/USDT:USDT,-4.6276720695325295,2047733.0528366005,BOMEUSDT
1000LUNC/USDT:USDT,-4.6119235095613,7373330.91785,1000LUNCUSDT
BMNR/USDT:USDT,-4.584151931892599,6301636.6899999995,BMNRUSDT
CC/USDT:USDT,-4.579114402297124,5054920.340639999,CCUSDT
FORM/USDT:USDT,-4.547607768829942,1102115.3576500001,FORMUSDT
TRUMP/USDT:USDT,-4.534606205250591,46193261.87094999,TRUMPUSDT
ROBO/USDT:USDT,-4.504504504504503,7956502.886439998,ROBOUSDT
US/USDT:USDT,-4.484786499616467,7451138.730869997,USUSDT
ENS/USDT:USDT,-4.4564961094081585,6182384.435800002,ENSUSDT
APT/USDT:USDT,-4.4447910168434195,35814604.247969985,APTUSDT
DYDX/USDT:USDT,4.425465838509335,12520203.49821,DYDXUSDT
SEI/USDT:USDT,-4.421352893235531,11000669.479540009,SEIUSDT
ENJ/USDT:USDT,-4.411764705882348,5040147.775850005,ENJUSDT
VIRTUAL/USDT:USDT,-4.354216424765767,13904315.369730001,VIRTUALUSDT
DYM/USDT:USDT,-4.339622641509444,1212784.608816,DYMUSDT
ZKC/USDT:USDT,-4.339074032654877,1939845.8869599993,ZKCUSDT
MVLL/USDT:USDT,4.314329738058542,9276103.032900004,MVLLUSDT
PORTAL/USDT:USDT,-4.304635761589404,3103817.5060339984,PORTALUSDT
TRB/USDT:USDT,-4.296616789856367,6838061.391000003,TRBUSDT
CAP/USDT:USDT,-4.206500956022952,10786535.482929995,CAPUSDT
XPT/USDT:USDT,-4.203151307412378,9931370.929029997,XPTUSDT
AERGO/USDT:USDT,-4.1578277471362,1503991.0374799988,AERGOUSDT
KERNEL/USDT:USDT,-4.09573155687144,691036.2876500004,KERNELUSDT
ME/USDT:USDT,-4.092664092664089,4223587.587636999,MEUSDT
GUA/USDT:USDT,4.091778202676877,5235580.785899999,GUAUSDT
HBAR/USDT:USDT,-4.0897824290829,18015017.07347001,HBARUSDT
ARC/USDT:USDT,-4.077883908890523,1591429.8841100007,ARCUSDT
RENDER/USDT:USDT,-4.077791718946056,10085626.120799998,RENDERUSDT
CELO/USDT:USDT,-4.063139432914342,2724466.839082,CELOUSDT
SAGA/USDT:USDT,-4.036557501904026,2109265.211259,SAGAUSDT
FIL/USDT:USDT,-4.030226700251893,47652422.18156002,FILUSDT
PYTH/USDT:USDT,-3.9954597048808105,12195831.901319994,PYTHUSDT
MORPHO/USDT:USDT,3.9830929885628974,12044474.123650003,MORPHOUSDT
BCH/USDT:USDT,-3.9665884870180745,70000844.18401998,BCHUSDT
OPN/USDT:USDT,-3.9267886855241296,5793553.552329998,OPNUSDT
GIGGLE/USDT:USDT,-3.9039039039039047,7594748.152599998,GIGGLEUSDT
STRK/USDT:USDT,-3.8449111470112984,5006459.373276999,STRKUSDT
ARB/USDT:USDT,-3.774540848638397,23191253.149119984,ARBUSDT
WLD/USDT:USDT,-3.7688442211055273,133793787.48730001,WLDUSDT
ETH/USDT:USDT,-3.76460022950148,7022865891.17024,ETHUSDT
LA/USDT:USDT,-3.7581426423918485,3056513.257050997,LAUSDT
BICO/USDT:USDT,-3.727144866385368,4870844.943039998,BICOUSDT
XMR/USDT:USDT,-3.7017038636909194,31953563.335810013,XMRUSDT
MINA/USDT:USDT,-3.698347107438016,2065807.4055500017,MINAUSDT
SAND/USDT:USDT,-3.67839195979901,6712402.776610003,SANDUSDT
MANA/USDT:USDT,3.6766809728183247,8389837.650800003,MANAUSDT
ACT/USDT:USDT,3.638497652582151,4561953.091680001,ACTUSDT
ALT/USDT:USDT,-3.627834245504291,1432987.96335,ALTUSDT
CATI/USDT:USDT,-3.530005042864348,3278885.2844399987,CATIUSDT
DOGE/USDT:USDT,-3.496410529114591,249524803.46186003,DOGEUSDT
H/USDT:USDT,3.4871486547422004,8102040.061510002,HUSDT
MASK/USDT:USDT,-3.4548035967818302,1218304.4289999998,MASKUSDT
BNB/USDT:USDT,-3.4284250085411583,214515593.7843001,BNBUSDT
AIGENSYN/USDT:USDT,3.4068912117692696,12299981.247660002,AIGENSYNUSDT
AIXBT/USDT:USDT,-3.347280334728042,1553912.6409899993,AIXBTUSDT
ALGO/USDT:USDT,-3.3295063145809434,10871383.415530007,ALGOUSDT
LDO/USDT:USDT,3.32472562943833,97298306.81799996,LDOUSDT
