cvd_delta_15m,cvd_source,cvd_zscore_15m,data_quality,data_ready,data_stale,flow_direction,funding_rate,funding_zscore,oi_delta_pct_15m,pair,qvol_5m,source,symbol,ts,volume_zscore_15m
-0.40593384862220067,real,-0.40593384862220067,OK,True,False,NO_TRADE,0.0001,0.0,0.0,APE/USDT:USDT,4191553.4704,real,APEUSDT,2026-07-08T18:39:50.985402+00:00,2.933248117825914
1.0550358504329862,real,1.0550358504329862,OK,True,False,BOTH_ALLOWED,8.746e-05,0.0,0.0,APT/USDT:USDT,742854.16817,real,APTUSDT,2026-07-08T18:39:50.987818+00:00,-0.45250905151398096
-1.256799767824869,real,-1.256799767824869,OK,True,False,NO_TRADE,-0.00010426,0.0,0.0,ARB/USDT:USDT,674921.8077169999,real,ARBUSDT,2026-07-08T18:39:50.990230+00:00,-0.5474823970064432
-1.7717364152654456,real,-1.7717364152654456,OK,True,False,NO_TRADE,5e-05,0.0,0.0,ARC/USDT:USDT,33843.37385,real,ARCUSDT,2026-07-08T18:39:50.993228+00:00,-0.693632481415488
0.9274002154408062,real,0.9274002154408062,OK,True,False,LONG_ONLY,-0.0001575,0.0,0.0,ARKM/USDT:USDT,47312.2255,real,ARKMUSDT,2026-07-08T18:39:50.995747+00:00,-0.30454319919635514
-1.3633455432583432,real,-1.3633455432583432,OK,True,False,NO_TRADE,-0.00067134,0.0,0.0,ARPA/USDT:USDT,378278.75920000003,real,ARPAUSDT,2026-07-08T18:39:50.998212+00:00,-0.19958132081532046
0.8547127770130487,real,0.8547127770130487,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,ARX/USDT:USDT,1767965.9367999998,real,ARXUSDT,2026-07-08T18:39:51.000646+00:00,0.5291359414979632
-1.469905049170384,real,-1.469905049170384,OK,True,False,NO_TRADE,5e-05,0.0,0.0,ASTER/USDT:USDT,477678.6026,real,ASTERUSDT,2026-07-08T18:39:51.003386+00:00,-0.5158732644156834
0.1645084930014923,real,0.1645084930014923,OK,True,False,LONG_ONLY,-9.355e-05,0.0,0.0,ASTS/USDT:USDT,172843.5549,real,ASTSUSDT,2026-07-08T18:39:51.005950+00:00,2.1985516343941067
-1.674654971913873,real,-1.674654971913873,OK,True,False,NO_TRADE,5e-05,0.0,0.0,ATH/USDT:USDT,76654.64141699999,real,ATHUSDT,2026-07-08T18:39:51.008398+00:00,-0.36955803833455075
-1.7013709319444763,real,-1.7013709319444763,OK,True,False,NO_TRADE,-0.00021369,0.0,0.0,ATOM/USDT:USDT,244966.86742999998,real,ATOMUSDT,2026-07-08T18:39:51.010822+00:00,1.0848931356942164
0.7711532358565009,real,0.7711532358565009,OK,True,False,BOTH_ALLOWED,5e-05,0.0,0.0,A/USDT:USDT,77647.41666,real,AUSDT,2026-07-08T18:39:51.013357+00:00,-0.2695381669191966
0.4954063484573234,real,0.4954063484573234,OK,True,False,LONG_ONLY,-0.00010052,0.0,0.0,AVAX/USDT:USDT,2255078.947,real,AVAXUSDT,2026-07-08T18:39:51.015944+00:00,-0.27573821384989844
-0.9631920222243167,real,-0.9631920222243167,OK,True,False,NO_TRADE,5e-05,0.0,0.0,AVNT/USDT:USDT,111147.4328,real,AVNTUSDT,2026-07-08T18:39:51.018454+00:00,0.014025742908966875
0.3373972053657737,real,0.3373972053657737,OK,True,False,LONG_ONLY,-4.105e-05,0.0,0.0,AXS/USDT:USDT,224941.959,real,AXSUSDT,2026-07-08T18:39:51.020987+00:00,-0.009419114828248346
-2.478116610600372,real,-2.478116610600372,OK,True,False,NO_TRADE,-0.00061291,0.0,0.0,BARD/USDT:USDT,34529.0074,real,BARDUSDT,2026-07-08T18:39:51.023464+00:00,1.3851190161890885
-1.2562861070222295,real,-1.2562861070222295,OK,True,False,NO_TRADE,5e-05,0.0,0.0,BASED/USDT:USDT,447510.60030000005,real,BASEDUSDT,2026-07-08T18:39:51.026395+00:00,2.9434752414293954
-0.17392846963547992,real,-0.17392846963547992,OK,True,False,NO_TRADE,0,0.0,0.0,BAS/USDT:USDT,166861.643,real,BASUSDT,2026-07-08T18:39:51.028785+00:00,0.9175580024035097
