close,volume,rsi,ema55,atr_pct
1735.75,1704.61,50.0,1735.75,0.16419415238370366
1735.31,8958.38,0.0,1735.7342857142858,0.17271512623928809
1734.85,1342.19,0.0,1735.7027040816326,0.16882010030862624
1738.36,2933.8,37.95180722891276,1735.7976075072886,0.17703090282406828
1737.84,1107.5,35.78502767258706,1735.870550096314,0.1737240615210431
1735.56,1432.9,28.186360026336246,1735.8594590214457,0.178524514934598
1738.07,2690.66,42.62914571237478,1735.938406913537,0.18538296964936374
1738.27,1273.49,43.60244247806364,1736.0216780951964,0.1793536724428025
1738.97,2660.4,46.99203742076302,1736.1269753060822,0.17612833239392714
1739.11,1043.15,47.66945651121479,1736.2335119022935,0.17680079878213073
1738.72,1041.53,45.90935090336112,1736.3223150486401,0.1773960353104538
1742.69,2316.85,61.49503430706622,1736.5497323683317,0.18525327628530316
1741.22,1417.39,55.15750760895817,1736.7165276408914,0.18217552785835142
1742.12,527.55,58.010682709310586,1736.909508796574,0.17629176537075278
1740.61,1883.9,52.02924817591283,1737.0416691966964,0.17730148518294667
1750.5,15171.3,72.22756994743486,1737.522323868243,0.2147127594408028
1748.99,2852.65,67.55091491347275,1737.9318837300914,0.21143267625538317
1748.0,2466.29,64.59771778164819,1738.2914593111595,0.2053088130831457
1747.11,940.26,61.97461947694697,1738.6064071929038,0.19879513140890653
1747.74,2084.51,63.11635739179746,1738.9326069360145,0.1941740478914649
1747.33,1823.83,61.81553361106251,1739.232513831157,0.1946543238624389
1752.73,9868.6,70.4529715191886,1739.7145669086158,0.2252253593084264
1755.64,3234.68,73.88165768119791,1740.2833323761652,0.2285641936139108
1758.48,5693.5,76.72082824045329,1740.9332133627308,0.23427675083807134
1752.94,2806.03,62.45788229580497,1741.3620271712048,0.24267894225776251
1753.99,4107.0,63.8303571363803,1741.8130262008046,0.23889292110059185
1752.88,3374.27,61.27987740898389,1742.2082752650617,0.2317086872076623
1751.9,3099.87,59.03699439946888,1742.5544082913095,0.2266946012583631
1753.4,2672.43,61.36770883269737,1742.9417508523343,0.218917594195719
1752.92,1526.92,60.18755501969522,1743.2981168933222,0.2086335708261512
1750.06,2481.9,53.57634076286374,1743.5396127185609,0.21523072134030938
1750.71,969.2,54.79175463498776,1743.7956979786122,0.20729005417616997
1750.75,904.02,54.870058087603304,1744.0440659079477,0.20223014706790654
1750.0,739.42,53.01586454727235,1744.2567778398068,0.197824799580767
1748.18,654.21,48.713895221562595,1744.3968929169564,0.19303807349285912
1747.67,2058.91,47.549524932380585,1744.5137895984935,0.19123620474050396
1747.81,615.06,47.917545628529325,1744.6315113985474,0.18418278193056556
1749.14,1148.98,51.40585541627941,1744.7925288485992,0.1819226511771012
1748.01,603.07,48.437494137969495,1744.9074385325778,0.17647440800187014
1750.42,575.75,54.47524350700515,1745.104315727843,0.1748652727062867
1751.38,717.33,56.65266421931715,1745.3284473089916,0.17268585419403945
1748.7,3366.77,49.53044707145462,1745.448859905099,0.17509746698113027
1747.86,1521.64,47.51418343468496,1745.5349720513454,0.17125056708647488
1747.83,1056.09,47.43990793891625,1745.6169373352259,0.16887006052570355
1745.35,4089.63,41.644370679265926,1745.6074038589677,0.17466942989544954
1746.27,1776.19,44.359924443535,1745.6310680068618,0.1717608209450637
